R0001	100001|.44 Magnum.1	Provides only only maneuver each combat, even if the bearer changes. [LSJ 19980302-2]
R0218	100223|Bloodstone.1	It's still an equip action (eg. It can benefit from {The British Museum, London} or {Filchware's Pawn Shop}). [LSJ 20050313] [ANK 20230408]
R0219	100224|Bloodstorm of Chorazin.1	The action ends unsuccessfully immediately, no other action modifier or reaction can be played afterwards. [RTR 20180719] [ANK 20200207]
R0220	100228|Body Arsenal.1	Must be played before strike resolution and damage prevention in order to affect the current strike. (can be played after both strikes have been chosen) [RTR 19960112]
R0221	100229|Body Bag.1	Can be equipped by a non-Anarch and would still count as a haven, although the rest of his effect does not apply. [LSJ 20030607]
R0222	100231|Body of Sun.1	[pro] Damage done to the striking minion is environmental. [LSJ 19970801]
R0223	100232|Bollix.1	[tha] Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0224	100232|Bollix.2	[tha] The opponent cannot play [for] prevention cards (eg. for cycling). [LSJ 20050628]
R0225	100232|Bollix.3	[tha] Does not protect from weapons if played at long range. [ANK 20230823]
R0226	100233|Bomb.1	Using the provided action does not force the minion to strike with it if he is blocked. [LSJ 19971215]
R0227	100233|Bomb.2	Damage done to the bearer is environmental. [LSJ 19970801]
R0228	100233|Bomb.3	The provided action ends with no effect if the acting minion does not possess the equipment when the action resolves. It is still considered successful if not blocked. [RTR 19960221] [LSJ 20020926]
R0229	100233|Bomb.4	When used as a strike, it does not burn if combat ends before it resolves (eg. if the opponent uses a "strike: combat ends"). [LSJ 19981006] [LSJ 20001127-2] [LSJ 20010806-1]
R0230	100235|Bond with the Mountain.1	[tha] The press can only be used during the current round. [TOM 19960521]
R0231	100235|Bond with the Mountain.2	[vis] [VIS] The unlock effect takes place before the end of combat. [RTR 19970630]
R0232	100235|Bond with the Mountain.3	[vis] [VIS] The vampires still unlock if an effect continues the combat or begins a new combat. [RTR 20020501] [LSJ 20030717]
R0233	100236|Bonding.1	[DOM] Cannot be used if you do not need the stealth at the time you play it. [TOM 19951109]
R0234	100236|Bonding.2	[DOM] Cannot be used to increase the stealth of a non-bleed action. [LSJ 19980824] [RTR 19941109]
R0235	100237|Bone Spur.1	Must be played before strike resolution and damage prevention in order to affect the current strike. (can be played after both strikes have been chosen) [RTR 19960112]
R0236	100238|Bonecraft.1	The rest of the effect applies if the damage is prevented, it does not if it is dodged. [LSJ 19990106-2]
R0237	100239|Book of Going Forth by Night, The.1	Requirements do not apply when taking control of a card already in play. [TOM 19960226-1]
R0238	100239|Book of Going Forth by Night, The.2	Does not apply to Imbued getting incapacitated. [ANK 20220816]
R0239	100241|Botched Move.1	Damage is environmental. [RTR 19970630]
R0240	100241|Botched Move.2	Can be played against any combat card, even those played at the end of the round. [LSJ 20070214]
R0241	100241|Botched Move.3	Is not affected by a {Dark Influences} in play. [LSJ 20081120-2]
R0242	100245|Brainwash.1	Only transfers are forbidden, other movements are not affected (eg. {Govern the Unaligned} at superior [DOM]). The vampire can become controlled if it reaches capacity, Brainwash stays on it (if {Banishment} is used, the effect resumes). [LSJ 20010211]
R0243	100245|Brainwash.2	You can only target a vampire by position, the target Methuselah can shuffle their crypt. If you have no clue (tokens, cards) about a previously revealed vampire's position, you have to take a bet. In case multiple copies of the same vampire are subject to different effects, the controller must track them, but they can do it secretly (eg. {Banishment} was used on one that would benefit from {The Rack} if controlled again). [LSJ 20040728]
R0244	100250|Breath of the Dragon.1	Damage done to the striking minion is environmental. [LSJ 19970801]
R0245	100252|Brick by Brick.1	[VIS] No other effect can be used to reset the range, but other pre-range effects can be played afterwards. [RTR 19970630] [ANK 20180720]
R0246	100253|Brick Laying.1	[POT] If it burns an ally as a result, this counts as a Ⓓ action burning an ally (eg. Trophies, {Predator's Transformation}). [ANK 20220507]
R0247	100254|Brigitte Gebauer.1	She can lock to use her ability the turn she is recruited. [ANK 20180517]
R0248	100257|Brother's Blood.1	Can be played even if there is no damage yet, can be used to heal and prevent destruction at the same time. [LSJ 20100527]
R0249	100260|Brujah Debate.1	If more than one Brujah shares the highest capacity amount, the controller chooses which of them to lock during her master phase. [LSJ 19980224]
R0250	100260|Brujah Debate.2	Can lock a locked Brujah. [LSJ 20010508]
R0251	100261|Brujah Frenzy.1	Cannot be played if there is no suitable minion for the Brujah to enter combat with. [RTR 19980928]
R0252	100261|Brujah Frenzy.2	There is no time to play further action modifiers or reactions before combat begins. [TOM 19950829]
R0253	100261|Brujah Frenzy.3	Only causes the affected Brujah to enter combat with a second minion: that minion is not considered to be blocking the Brujah in any way. [RTR 19950906]
R0254	100261|Brujah Frenzy.4	Must select a "ready, unlocked minion" to send the Brujah into combat with. It cannot be played if there are no such minions. [RTR 19951110]
R0255	100261|Brujah Frenzy.5	Can only be played on a ready acting Brujah. [RTR 19980623]
R0256	100263|Brutal Influence.1	You may lock Orun cards the vampire has even if they're not Laibon: in this case none burns because of the bleed. [ANK 20221208]
R0257	100264|Brute Force.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0258	100267|Bundi.1	Preventing damage with it does not force the minion to strike with it. [LSJ 19971215]
R0259	100267|Bundi.2	Inherits all of the properties of the base hand strike. [TOM 19960225] [LSJ 20071020]
R0260	100267|Bundi.3	Effects that affect or improve hand strikes can be used on its strike. [LSJ 20071020]
R0261	100267|Bundi.4	Cannot be used with a strike card that reads: "Strike: make a hand strike." but can be use it with a strike card that reads "strike: make a weapon strike" (eg. {Brute Force}). In that case, the strike is still considered a hand strike (ie. can be chosen if {Immortal Grapple} has been played) [LSJ 20080702-1] [LSJ 20090114]
R0262	100271|Burning Wrath.1	All the damage is aggravated. [LSJ 20020122]
R0263	100273|Burst of Sunlight.1	Damage done to the striking minion is environmental, it is inflicted regardless of the range. [LSJ 19970801] [ANK 20221212]
R0264	100274|Business Pressure.1	Each Methuselah must decide how much pool to burn for it during the resolution of the effect. It does not give an ability for the rest of the political action. However, there can be some give and take during the resolution of the effect. For example, each Methuselah can choose to burn one pool at a time as pool is burned for votes. [RTR 19960530]
R0265	100274|Business Pressure.2	Cannot be used before the terms are set. [RTR 20040501]
R0266	100275|Cadet.1	The target vampire is not Black Hand if he is not Sabbat. [LSJ 20070322]
R0267	100280|Call the Great Beast.1	The action to put a counter on the card is an action that requires Baali. [LSJ 20050112]
R0268	100280|Call the Great Beast.2	The action to put the 11th counter on it is an action to put a vampire into play, a sterile vampire cannot do it (eg. {Blood Cult Awareness Network} gives it -1 stealth). [LSJ 20060815] [LSJ 20011212]
R0269	100281|Call the Lamprey.1	[OBT] Can be played against a vampire with no blood. [RTR 20010711]
R0270	100282|Call the Wild Hunt.1	Does not render immune to a previously-played Frenzy card. [LSJ 20040210]
R0271	100282|Call the Wild Hunt.2	[ANI][PRO] you choose X and then discard that many animals form your hand and cannot use any animals drawn to replace the ones you are discarding as further discards. [LSJ 20060215]
R0272	100282|Call the Wild Hunt.3	[ANI][PRO] The damage is environmental. [LSJ 20060217]
R0273	100284|Camarilla Exemplary.1	Burn blood effects are cumulative. [LSJ 19980225]
R0274	100284|Camarilla Exemplary.2	A vampire with no blood can still block, they burn what they can. [LSJ 19970707]
R0275	100284|Camarilla Exemplary.3	The same vampire can be chosen multiple times if multiple copies are played. [LSJ 19970707]
R0276	100286|Camarilla Vitae Slave.1	Is neither a Ghoul nor a mortal, it has no subtype. [ANK 20230308]
R0277	100286|Camarilla Vitae Slave.2	The vampire keeps his chosen Discipline at superior until his controller's next unlock phase even if the retainer is burned or stolen. [LSJ 19970224]
R0278	100287|Camera Phone.1	The provided action ends with no effect if the acting minion does not possess the equipment when the action resolves. It is still considered successful if not blocked. [RTR 19960221]
R0279	100289|Can't Take it with You.1	Each Methuselah burns 1 pool for each equipment, each location and each retainer. [LSJ 20071005-2]
R0280	100290|Canine Horde.1	[ANI] Cannot be used if there is no equipment to destroy. [RTR 19980928]
R0281	100292|Capitalist.1	Cards and effects that can be played "after resolution" (and only them) can be played after the gain blood effect. [ANK 20190113]
R0282	100293|Car Bomb.1	Is to be used when the action is announced. [PIB 20150820]
R0283	100293|Car Bomb.2	If the action fails, modifiers and reactions that can be used at the end/after an action can still be used afterwards. [LSJ 20041022] [RTR 20180719] [ANK 20220118] [ANK 20221205].
R0284	100293|Car Bomb.3	The action has reached resolution, so is subject to NRA (Non Repeatable Action) rules. [RTR 20180719] [ANK 20211015]
R0285	100298|Carlton Van Wyk.1	He can use his ability to burn a vampire who has committed diablerie the turn she is recruited. [ANK 20180517]
R0286	100303|Carver's Meat Packing and Storage.1	The effect to burn a hostage counter can be done only once per turn. [ANK 20200729] [RBK wording-templates]
R0287	100307|Catatonic Fear.1	[PRE] Damage is done by the vampire (not environmental). [RTR 19970630] [LSJ 19990723]
R0288	100307|Catatonic Fear.2	[PRE] The damage is inflicted after the end of combat. [RTR 19970630]
R0289	100307|Catatonic Fear.3	[PRE] If the combat continues or a new combat begins, no damage is done. [RTR 20020501]
R0290	100307|Catatonic Fear.4	[PRE] If the strike is dodged, no damage is done. [LSJ 19980526] [RTR 20041202] [LSJ 20070124]
R0291	100307|Catatonic Fear.5	[PRE] Is a damage dealing strike and can be modified by effects like {Target Vitals} or {Dam the Heart's River}. [ANK 20170111] [LSJ 20071011]
R0292	100308|Cats' Guidance.1	[ani] Is played after all combats are handled. [RTR 19980623] [LSJ 20040219] [ANK 20221130]
R0293	100308|Cats' Guidance.2	[ani] Cannot be played if the vampire is in torpor, for example if he went into torpor during the combat resulting from the block. [LSJ 20000103]
R0294	100309|Cauldron of Blood.1	Additional damage inherits all of the properties of the base damage. [TOM 19960225]
R0295	100310|Cavalier.1	Cards and effects that can be played "after resolution" (and only them) can be played after the unlock effect. [ANK 20190113]
R0296	100310|Cavalier.2	Takes the modified cost into account if it has been modified (eg. by {The Slow Withering} or {The Ankara Citadel, Turkey}). [PIB 20150725] [LSJ 20100429]
R0297	100310|Cavalier.3	Applies even if the vampire it's on is not the one paying the cost (eg. rescuing from torpor). [LSJ 20100315]
R0298	100316|Chain of Command.1	Cannot bring more than one copy of a unique vampire out, by the rule prohibiting self-contesting. [LSJ 20040722]
R0299	100316|Chain of Command.2	If a commanded vampire is burned (eg. {Daring the Dawn}), he is not brought back to the crypt. [LSJ 20040616]
R0300	100316|Chain of Command.3	If none of the vampires can bleed (eg. {Aabbt Kindred}), they all go to the bottom of the crypt. [LSJ 20040518-2]
R0301	100319|Chalice of Kinship.1	The provided action ends with no effect, if the acting minion does not possess the equipment when the action resolves. It is still considered successful if not blocked. [RTR 19960221]
